Serial_Number,Common_Name,Scientific_Name,Oxygen_Output_Full_Growth_(kg/year),First_Flowering_Time_(years),Full_Growth_Time_(years),Additional Benefit,Soil_Type,Region_Suitability,Climate_Suitability,Above_Ground_Biomass_(kg/m sq),Below_Ground_Biomass_(kg/m sq),Total_Biomass_(kg/m sq),Total Carbon (TC) (kg/m sq),Carbon_Sequestration_(kg/year/m sq),Trunk_Size_(m),Tree_Height_(m),Branch_Length_(m),Crown_Diameter_(m),Crown_Area_(m sq),Root_Span_(m sq),Total_AGB_(in kg),Total_BGB_(in kg),Total_Biomass_(in kg),Total_Carbon_(in kg),Total_Carbon_Sequestration_(in kg),Carbon_Sequestration_First_Flowering_(in kg/year),Oxygen_Output_First_Flowering_(kg/year)
79,Indian Rennet,Adenanthera pavonina,53.49,3,25,"""Decorative""","""Sandy, Loamy, Red, Laterite""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",6.75,1.69,8.44,3.97,14.57,0.8,15,7.5,6,28.27,9,190.8,15.2,206,96.8,355,1235.6817,1.93
80,Indian Prickly Ash,Zanthoxylum rhetsa,53.49,5,35,"""Medicinal""","""Loamy, Red, Laterite, Forest, Alluvial""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",6.75,1.69,8.44,3.97,14.57,0.8,15,7.5,6,28.27,9,190.8,15.2,206,96.8,355,2059.4695,2.29
81,Indian Rhododendron,Melastoma malabathricum,4.69,5,30,"""Fruiting, Medicinal""","""Loamy, Red, Laterite, Forest, Alpine""","""Urban, Rural""","""Subtropical, Subtropical Highland, Temperate""",1.85,0.46,2.31,1.09,4,0.5,8,4,3.2,8.04,4.8,14.9,2.2,17.1,8,29.4,160.8,0.23
82,Indian Coffee Tree,Coffea arabica,1.85,3,12,"""Fruiting""","""Loamy, Red, Laterite, Forest""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",0.92,0.23,1.15,0.54,1.98,0.4,6,3,2.4,4.52,3.6,4.2,0.8,5,2.3,8.6,26.8488,0.14
83,Indian Mangrove,Rhizophora mucronata,36.12,5,25,"""Area limited""","""Sandy, Loamy, Alluvial, Coastal""","""Coastal""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",4.56,1.14,5.7,2.68,9.84,0.7,12,6,4.8,18.1,7.2,82.5,8.2,90.7,42.6,156.3,890.52,2.17
84,Papaya,Carica papaya,0.45,0.5,3,"""Fruiting, Medicinal""","""Sandy, Loamy, Red, Laterite, Alluvial""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",0.23,0.05,0.28,0.13,0.48,0.3,4,2,1.6,2.01,2.4,0.5,0.1,0.6,0.3,1.1,0.4824,0.02
85,Night Jasmine,Nyctanthes arbor-tristis,3.75,3,17,"""Decorative, Medicinal""","""Loamy, Red, Laterite, Alluvial""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",1.85,0.46,2.31,1.09,4,0.4,6,3,2.4,4.52,3.6,8.4,1.7,10.1,4.7,17.3,54.24,0.2
86,Wild Almond,Sterculia foetida,100.89,4,40,"""Area limited""","""Sandy, Loamy, Red, Laterite""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Semi-Arid, Arid""",12.75,8.19,20.94,7.49,27.49,1,20,10,8,50.27,12,640.9,98.3,739.2,347.4,1273.9,5527.6892,3.03
87,Apple,Malus domestica,24.67,2,20,"""Fruiting""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical Highland""",3.12,0.78,3.9,1.83,6.72,0.7,12,6,4.8,18.1,7.2,56.5,5.6,62.1,29.2,107,243.264,0.74
88,Pear,Pyrus communis,36.12,2,25,"""Fruiting""","""Clayey, Loamy, Black, Alpine""","""Urban, Rural""","""Temperate, Subtropical Highland""",4.56,1.14,5.7,2.68,9.84,0.8,15,7.5,6,28.27,9,128.9,10.3,139.2,65.4,239.9,556.3536,0.87
89,Quince,Cydonia oblonga,18.61,3,15,"""Fruiting""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical Highland""",2.35,0.59,2.94,1.38,5.07,0.6,10,5,4,12.57,6,29.5,3.5,33,15.5,56.9,191.1897,1.12
90,Pawpaw,Asimina triloba,24.67,4,20,"""Fruiting""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",3.12,0.78,3.9,1.83,6.72,0.7,12,6,4.8,18.1,7.2,56.5,5.6,62.1,29.2,107,486.528,1.48
91,Ash,Fraxinus spp.,124.63,5,50,"""Area limited""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical Highland""",15.75,3.94,19.69,9.25,33.96,0.9,18,9,7.2,40.72,10.8,640.9,42.6,683.5,321.2,1177.8,6914.256,3.74
92,Sycamore,Platanus occidentalis,217,6,70,"""Decorative""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",27.49,6.87,34.36,16.15,59.27,1.2,25,12.5,10,78.54,15,2159.6,103.1,2262.7,1063.5,3899.5,27930.3948,5.58
93,Black Walnut,Juglans nigra,201,6,70,"""Fruiting""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",25.5,6.37,31.87,14.98,54.99,1.1,22,11,8.8,60.82,13.2,1520.5,84.1,1604.6,754.2,2765.3,20066.9508,5.17
94,Sweetgum,Liquidambar styraciflua,148.42,5,60,"""Decorative""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",18.75,4.69,23.44,11.02,40.44,1,20,10,8,50.27,12,942.5,56.3,998.8,469.4,1721.2,10164.594,3.71
95,Bald Cypress,Taxodium distichum,268,10,100,"""Decorative""","""Clayey, Loamy, Alpine""","""Urban, Rural, Coastal""","""Temperate, Subtropical, Humid Subtropical""",33.96,8.49,42.45,19.95,73.23,1.5,30,15,12,113.1,18,3839.6,152.8,3992.4,1876.4,6880.2,82823.13,8.04
96,Dogwood,Cornus florida,36.12,3,30,"""Decorative""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",4.56,1.14,5.7,2.68,9.84,0.6,10,5,4,12.57,6,57.3,6.8,64.1,30.1,110.5,371.0664,1.08
97,Redbud,Cercis canadensis,18.61,4,25,"""Decorative""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",2.35,0.59,2.94,1.38,5.07,0.5,8,4,3.2,8.04,4.8,18.9,2.8,21.7,10.2,37.4,163.0512,0.89
98,Crabapple,Malus spp.,24.67,2,25,"""Fruiting""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical Highland""",3.12,0.78,3.9,1.83,6.72,0.6,10,5,4,12.57,6,39.3,4.7,44,20.7,75.9,168.9408,0.59
99,Hawthorne,Crataegus spp.,14.68,3,30,"""Fruiting""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",1.85,0.46,2.31,1.09,4,0.5,8,4,3.2,8.04,4.8,14.9,2.2,17.1,8,29.4,96.48,0.44
100,Serviceberry,Amelanchier spp.,9.38,2,15,"""Fruiting""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",1.23,0.31,1.54,0.72,2.65,0.4,6,3,2.4,4.52,3.6,5.6,1.1,6.7,3.1,11.5,23.956,0.38
101,Catalpa,Catalpa spp.,124.63,3,50,"""Decorative""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",15.75,3.94,19.69,9.25,33.96,0.9,18,9,7.2,40.72,10.8,640.9,42.6,683.5,321.2,1177.8,4148.5536,2.24
102,Linden,Tilia spp.,166.23,4,70,"""Decorative""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",21,5.25,26.25,12.34,45.29,1,20,10,8,50.27,12,1055.7,63,1118.7,525.8,1928,9106.9132,2.85
103,Deodar Cedar,Cedrus deodara,268,10,100,"""Decorative""","""Clayey, Loamy, Forest, Alpine""","""Urban, Rural""","""Temperate, Subtropical Highland, Alpine""",33.96,8.49,42.45,19.95,73.23,1.5,30,15,12,113.1,18,3839.6,152.8,3992.4,1876.4,6880.2,82823.13,8.04
104,Gurjan,Dipterocarpus spp,395,8,100,"""Area limited""","""Clayey, Loamy, Forest, Alpine""","""Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",50,12.5,62.5,29.38,107,1.8,35,17.5,14,153.94,21,7697,262.5,7959.5,3741,13717,131772.64,9.48
105,Aini,Artocarpus hirsutus,201.83,5,70,"""Fruiting""","""Clayey, Loamy, Forest, Alpine""","""Urban, Rural""","""Tropical, Tropical Monsoon, Subtropical, Humid Subtropical""",25.5,6.37,31.87,14.98,54.99,1,20,10,8,50.27,12,1282.5,76.4,1358.9,638.7,2341.7,13821.7365,4.32
106,Pride of India,Lagerstroemia speciosa,100.89,3,40,"""Decorative""","""Clayey, Loamy, Alluvial, Alpine""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",12.75,3.19,15.94,7.49,27.49,0.9,18,9,7.2,40.72,10.8,388.5,25.8,414.3,194.7,714,3358.1784,2.27
107,Amaltas,Cassia fistula,69.25,3,40,"""Medicinal""","""Clayey, Loamy, Alluvial, Alpine""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",8.75,2.19,10.94,5.14,18.87,0.8,15,7.5,6,28.27,9,159.8,12.7,172.5,81.1,297.3,1600.3647,1.56
108,Kachnar,Bauhinia variegata,36.12,2.5,30,"""Decorative""","""Clayey, Loamy, Alluvial, Alpine""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",4.56,1.14,5.7,2.68,9.84,0.7,12,6,4.8,18.1,7.2,65.1,6.5,71.6,33.6,123.3,445.26,0.9
109,Indian Judas Tree,Cercis siliquastrum,18.61,3,30,"""Decorative""","""Clayey, Loamy, Alpine""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",2.35,0.59,2.94,1.38,5.07,0.6,10,5,4,12.57,6,29.5,3.5,33,15.5,56.9,191.1897,0.56
110,Indian Devil Tree (Saptaparni),Alstonia scholaris,166.23,3,70,"""Medicinal""","""Clayey, Loamy, Alluvial, Alpine""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",21,5.25,26.25,12.34,45.29,1,20,10,8,50.27,12,1055.7,63,1118.7,525.8,1928,6830.1849,2.14
111,Indian Mulberry,Morinda citrifolia,14.68,3,30,"""Fruiting, Medicinal""","""Clayey, Sandy, Loamy, Alluvial, Alpine""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",1.85,0.46,2.31,1.09,4,0.6,10,5,4,12.57,6,23.2,2.8,26,12.2,44.8,150.84,0.44
112,Indian Trumpet Tree,Oroxylum indicum,36.12,3,30,"""Medicinal""","""Clayey, Loamy, Alluvial, Alpine""","""Urban, Rural""","""Tropical, Subtropical, Humid Subtropical""",4.56,1.14,5.7,2.68,9.84,0.7,12,6,4.8,18.1,7.2,82.5,8.2,90.7,42.6,156.3,534.312,1.08
113,Black Locust,Robinia pseudoacacia,148.42,4,75,"""Decorative""","""Clayey, Loamy, Sandy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",18.75,4.69,23.44,11.02,40.44,0.9,18,9,7.2,40.72,10.8,762.6,50.8,813.4,382.3,1401.8,6586.8672,2.37
114,Douglas Fir,Pseudotsuga menziesii,268.75,10,135,"""Area limited""","""Clayey, Loamy, Forest, Alpine""","""Rural""","""Temperate, Subtropical Highland, Alpine""",33.96,8.49,42.45,19.95,73.23,1.5,30,15,12,113.1,18,3839.6,152.8,3992.4,1876.4,6880.2,82823.13,5.97
115,Red Cedar,Juniperus virginiana,53.49,5,60,"""Decorative""","""Clayey, Loamy, Forest, Alpine""","""Urban, Rural""","""Temperate, Subtropical Highland, Alpine""",6.75,1.69,8.44,3.97,14.57,0.8,15,7.5,6,28.27,9,190.8,15.2,206,96.8,355,2059.4695,1.34
116,Monterey Pine,Pinus radiata,166.23,6,80,"""Area limited""","""Clayey, Loamy, Sandy, Alpine""","""Rural""","""Temperate, Subtropical, Humid Subtropical""",21,5.25,26.25,12.34,45.29,1.2,25,12.5,10,78.54,15,1649.3,78.8,1728.1,812.2,2978,21342.4596,3.74
117,Sitka Spruce,Picea sitchensis,217.55,10,130,"""Area limited""","""Clayey, Loamy, Forest, Alpine""","""Rural""","""Temperate, Subtropical Highland, Alpine""",27.49,6.87,34.36,16.15,59.27,1.5,30,15,12,113.1,18,3107.4,123.6,3231,1518.6,5568.1,67034.37,5.02
118,Black Cherry,Prunus serotina,124.63,5,80,"""Area limited""","""Clayey, Loamy, Sandy, Alpine""","""Urban, Rural""","""Temperate, Subtropical, Humid Subtropical""",15.75,3.94,19.69,9.25,33.96,1,20,10,8,50.27,12,791.5,47.3,838.8,394.2,1445.5,8535.846,2.34
119,Tamarind,Tamarindus indica,182.6,8,25,"""Fruiting""","""Alluvial, Red, Loamy, Black""","""Urban, Rural""","""Tropical, Subtropical""",6.36,1.27,7.63,9.25,1.36,2,20,6,15,177,225,20,4,24,11.3,41.4,1925.76,17.53
120,Drumstick (Moringa),Moringa oleifera,24,1,5,"""Fruiting, Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Arid""",1,0.2,1.2,1.13,0.21,0.5,8,3,5,20,30,2500,500,3000,1410,5169,4.2,1.44
121,Eucalyptus,Eucalyptus globulus,303.2,4,20,"""Fruiting, Medicinal""","""Sandy, Loamy, Clay""","""Rural""","""Temperate, Subtropical""",3.16,0.63,3.79,14.15,2.08,2.5,40,12,10,79,300,1800,360,2160,1015,3722,657.28,18.19
122,Baheda (Bibhitaki),Terminalia bellirica,220.4,8,25,"""Area limited""","""Alluvial, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",5.09,1.02,6.11,10.36,1.52,1.8,25,8,12,113,150,560,112,672,316,1159,1374.08,21.16
123, White Champa,Plumeria alba,67.2,3,15,"""Medicinal""","""Sandy, Rocky""","""Urban, Rural""","""Tropical, Subtropical""",1.4,0.28,1.68,3.16,0.77,0.6,8,3,6,28,45,800,160,960,451,1654,64.68,4.03
124,Khejri,Prosopis cineraria,96,4,20,"""Decorative""","""Sandy, Arid""","""Rural""","""Arid, Semi-arid""",2,0.4,2.4,4.51,0.83,1.2,10,5,8,50,75,1260,252,1512,711,2608,166,5.76
125,Rudraksha,Elaeocarpus ganitrus,151.6,8,25,"""Fruiting, Medicinal""","""Laterite, Sandy""","""Urban, Rural""","""Tropical, Humid Subtropical""",3.16,0.63,3.79,7.12,1.05,1.4,20,5,10,79,115,800,160,960,451,1654,663.6,14.55
126,Khair,Acacia catechu,96,6,20,"""Area limited""","""Sandy, Gravelly""","""Urban, Rural""","""Tropical, Subtropical""",2,0.4,2.4,4.51,0.83,1.2,12,5,8,50,90,1800,360,2160,1015,3722,249,8.64
127,Siris,Albizia lebbeck,220.4,5,20,"""Medicinal""","""Clay, Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",5.09,1.02,6.11,10.36,1.52,1.6,18,7,12,113,150,1260,252,1512,711,2608,858.8,16.53
128,Indian Laburnum,Cassia fistula,151.6,5,20,"""Decorative""","""Loamy, Clay""","""Urban, Rural""","""Tropical, Subtropical""",3.16,0.63,3.79,7.12,1.05,1.2,12,5,10,79,115,3440,688,4128,1940,7113,414.75,11.37
129,Semal,Bombax ceiba,412.8,6,25,"""Medicinal""","""Alluvial, Fertile""","""Urban, Rural""","""Tropical, Humid Subtropical""",8.58,1.72,10.3,19.36,2.84,3,30,9,18,254,300,76,16,92,43,158,4328.16,29.72
130,Jatropha,Jatropha curcas,9.2,2,10,"""Decorative, Medicinal""","""Sandy, Rocky""","""Rural""","""Tropical, Arid""",0.65,0.13,0.78,2.03,0.15,0.4,4,1,4,13,23,380,76,456,214,786,3.9,0.55
131,Jamrul,Syzygium samarangense ,45.6,4,15,"""Area limited""","""Loamy, Alluvial""","""Urban, Rural""","""Tropical, Humid Subtropical""",1.52,0.3,1.82,3.58,0.66,0.8,11,3,7,38,60,1000,200,1200,564,2069,100.32,3.65
132,Bhilawa,Semecarpus anacardium,120,8,25,"""Fruiting""","""Laterite, Sandy""","""Rural""","""Tropical, Humid Subtropical""",2,0.4,2.4,4.51,1.06,1,15,5,8,50,90,800,160,960,451,1654,424,11.52
133,Putranjiva,Putranjiva roxburghii,96,6,20,"""Medicinal""","""Loamy, Sandy""","""Urban, Rural""","""Tropical, Subtropical""",2,0.4,2.4,4.51,0.66,1,12,4,8,50,75,2500,500,3000,1410,5169,198,8.64
134,Safeda,Eucalyptus tereticornis,303.2,4,20,"""Medicinal""","""Sandy, Loamy, Clay""","""Rural""","""Temperate, Subtropical""",3.16,0.63,3.79,14.15,2.08,2.5,35,10,12,113,300,0.5,0.1,0.6,0.3,1,940.16,18.19
135,Tulsi,Ocimum sanctum / Ocimum tenuiflorum,0.6,1,1,"""Area limited""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",0.03,0.01,0.04,0.28,0.02,0.1,0.8,0.3,0.8,0.5,1,1800,360,2160,1015,3722,0.01,0.18
136,Saptaparni,Alstonia scholaris,220.4,6,25,"""Medicinal""","""Alluvial, Loamy""","""Urban, Rural""","""Tropical, Humid Subtropical""",5.09,1.02,6.11,10.36,1.52,1.8,25,8,12,113,200,200,40,240,113,414,1030.56,15.87
137,Kafal,Myrica esculenta,24,5,15,"""Medicinal""","""Loamy, Forest""","""Rural""","""Temperate, Subtropical""",1,0.2,1.2,1.13,0.21,0.8,8,3,5,20,45,800,160,960,451,1654,21,2.4
138,Chironji,Buchanania lanzan,96,6,20,"""Fruiting, Medicinal""","""Sandy, Loamy""","""Rural""","""Tropical, Subtropical""",2,0.4,2.4,4.51,0.83,0.8,12,4,8,50,75,1260,252,151,711,2608,249,8.64
139,Kakad,Garuga pinnata,151.6,7,25,"""Medicinal""","""Loamy, Laterite""","""Rural""","""Tropical, Subtropical""",3.16,0.63,3.79,7.12,1.05,1.2,18,5,10,79,115,1260,252,1512,711,2608,580.65,12.73
140,Phalsa,Grewia asiatica,12,3,15,"""Fruiting""","""Sandy, Loamy""","""Rural""","""Tropical, Subtropical""",0.65,0.13,0.78,1.13,0.21,0.5,5,2,4,13,30,200,40,240,113,414,8.19,0.72
141,Nagkesar,Mesua ferrea,300,12,50,"""Medicinal, Decorative""","""Laterite, Loamy, Humid""","""Rural""","""Tropical, Humid Subtropical""",5.09,1.02,6.11,14.15,2.2,2.2,25,6,12,113,225,2500,500,3000,1410,5169,2983.2,21.6
142,Kullu,Sterculia urens,264,7,30,"""Medicinal""","""Alluvial, Loamy""","""Rural""","""Tropical, Subtropical""",5.09,1.02,6.11,12.41,1.94,1.8,20,5,12,113,180,2200,440,2640,1241,4550,1534.54,18.48
143,Casuarina,Casuarina equisetifolia,96,3,15,"""Area limited""","""Sandy, Coastal""","""Coastal, Rural""","""Tropical, Subtropical, Coastal""",2,0.4,2.4,4.51,0.83,1.2,20,5,8,50,115,800,160,960,451,1654,124.5,5.76
144,Khirni,Manilkara hexandra,151.6,8,30,"""Fruiting""","""Laterite, Sandy""","""Rural""","""Tropical, Humid Subtropical""",3.16,0.63,3.79,7.12,1.05,1.4,15,5,10,79,140,1260,252,1512,711,2608,663.6,12.13
145,Rubber,Hevea brasiliensis,220.4,6,25,"""Area limited""","""Loamy, Alluvial""","""Rural""","""Tropical, Humid Subtropical""",5.09,1.02,6.11,10.36,1.52,1.8,25,8,12,113,200,1800,360,2160,1015,3722,1030.56,15.87
146,Litchi,Litchi chinensis,151.6,4,20,"""Fruiting""","""Alluvial, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",3.16,0.63,3.79,7.12,1.05,1.2,12,5,10,79,115,1260,252,1512,711,2608,331.8,9.1
147,Neem Chameli,Millingtonia hortensis,151.6,5,20,"""Decorative""","""Loamy, Sandy""","""Urban, Rural""","""Tropical, Subtropical""",3.16,0.63,3.79,7.12,1.05,1.2,20,6,10,79,150,1260,252,1512,711,2608,414.75,11.37
148,Bamboo,Bambusa vulgaris,12,6,8,"""Area limited""","""Sandy, Loamy, Alluvial""","""Urban, Rural""","""Tropical, Subtropical""",0.25,0.05,0.3,0.47,0.07,0.1,15,1,3,7,5,100,20,120,56,207,2.94,2.7
149,Indian Bay Leaf Tree,Cinnamomum tamala,45.6,7,20,"""Medicinal""","""Loamy, Laterite""","""Urban, Rural""","""Tropical, Subtropical""",1.52,0.3,1.82,3.58,0.66,0.6,12,3,6,28,4,380,76,456,214,786,129.36,4.79
150,Camphor,Cinnamomum camphora,120,9,50,"""Medicinal, Decorative""","""Loamy, Laterite""","""Urban, Rural""","""Temperate, Subtropical""",3.16,0.63,3.79,14.15,2.08,1.5,25,6,10,79,8,1000,200,1200,564,2069,1478.88,6.48
151,Tea,Camellia sinensis,18,3,10,"""Medicinal""","""Loamy, Acidic""","""Urban, Rural""","""Temperate, Subtropical""",0.5,0.1,0.6,0.85,0.12,0.3,2,1,2,3,3,150,30,180,85,310,1.08,1.62
152,Pomegranate,Punica granatum,24,2,10,"""Fruiting, Medicinal""","""Loamy, Sandy""","""Urban, Rural""","""Temperate, Subtropical""",1,0.2,1.2,1.13,0.21,0.4,5,2,4,13,4,200,40,240,113,414,5.46,1.44
153,Rose,Rosa spp.,4.8,2,8,"""Decorative""","""Loamy, Sandy""","""Urban, Rural""","""Temperate, Subtropical""",0.4,0.08,0.48,0.38,0.07,0.1,2,1,1.5,2,2,40,8,48,23,84,0.28,0.36
154,Hibiscus,Hibiscus rosa-sinensis,7.2,1,5,"""Decorative""","""Loamy, Sandy""","""Urban, Rural""","""Tropical, Subtropical""",0.5,0.1,0.6,0.34,0.05,0.2,3,1.5,2,3,3,30,6,36,17,62,0.15,0.43
155,Marigold,Tagetes erecta,0.6,0.3,1,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Temperate""",0.05,0.01,0.06,0.03,0.01,0.03,1,0.3,0.5,0.2,0.5,0.5,0.1,0.6,0.3,1,0.0006,0.05
156,Bougainvillea,Bougainvillea glabra,60,2,8,"""Decorative""","""Sandy, Loamy""","""Urban, Rural, Coastal""","""Tropical, Subtropical, Mediterranean""",0.5,0.1,0.6,0.28,0.34,0.2,4,2,3,7,3,50,10,60,28,103,4.76,4.5
157,Chrysanthemum,Chrysanthemum morifolium,0.6,0.5,2,"""Decorative""","""Loamy, Well-drained""","""Urban, Rural""","""Temperate, Subtropical""",0.05,0.01,0.06,0.03,0.01,0.03,1,0.3,0.5,0.2,0.5,0.5,0.1,0.6,0.3,1,0.001,0.05
158,Periwinkle,Vinca rosea,0.6,0.5,1,"""Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Temperate""",0.05,0.01,0.06,0.03,0.01,0.02,0.5,0.3,0.6,0.3,0.5,0.5,0.1,0.6,0.3,1,0.0015,0.09
159,Ixora,Ixora coccinea,48,2,10,"""Decorative""","""Loamy, Acidic""","""Urban, Rural""","""Tropical, Subtropical""",0.4,0.08,0.48,0.38,0.56,0.1,2,1,1.5,2,2,40,8,48,23,84,2.24,2.88
160,Tuberose,Polianthes tuberosa,0.7,2,2,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",0.03,0.01,0.04,0.04,0.01,0.05,1,0,0.3,0.1,0.3,0.6,0.1,0.7,0.3,1,0.002,0.21
161,Temple Tree,Plumeria alba,67.2,15,15,"""Decorative""","""Sandy, Rocky""","""Urban, Rural""","""Tropical, Subtropical""",1.4,0.28,1.68,3.16,0.77,0.6,8,3,6,28,4,560,112,672,316,1159,323.4,20.16
162,African Tulip Tree,Spathodea campanulata,288,10,10,"""Decorative""","""Loamy, Alluvial""","""Urban, Rural""","""Tropical, Subtropical""",3.16,0.63,3.79,13.25,3.47,1.2,20,6,10,79,6,1500,300,1800,846,3103,2741.3,86.4
163,Floss Silk Tree,Ceiba speciosa,412.8,25,25,"""Decorative""","""Alluvial, Loamy""","""Urban, Rural""","""Tropical, Subtropical""",8.58,1.72,10.3,19.36,7.1,2,25,8,15,177,10,3000,600,3600,1692,6206,31417.5,123.84
164,Snapdragon,Antirrhinum majus,0.5,1,1,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Temperate, Subtropical""",0.03,0.01,0.04,0.09,0.01,0.02,0.6,0.2,0.4,0.1,0.3,0.4,0.1,0.5,0.2,1,0.001,0.15
165,Verbena,Verbena spp.,0.6,2,2,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Temperate, Subtropical""",0.05,0.01,0.06,0.14,0.02,0.03,0.4,0.3,0.5,0.2,0.5,0.5,0.1,0.6,0.3,1,0.008,0.18
166,Salvia,Salvia splendens,0.6,1,1,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Temperate, Subtropical""",0.05,0.01,0.06,0.14,0.02,0.03,1,0.4,0.6,0.3,0.5,0.5,0.1,0.6,0.3,1,0.006,0.18
167,Coreopsis,Coreopsis tinctoria,0.3,1,1,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Temperate, Subtropical""",0.03,0.01,0.04,0.07,0.01,0.02,0.6,0.3,0.5,0.2,0.3,0.3,0.1,0.4,0.2,0.7,0.002,0.09
168,Geranium,Pelargonium spp.,0.3,2,2,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Temperate, Subtropical""",0.03,0.01,0.04,0.07,0.01,0.03,0.5,0.3,0.4,0.1,0.3,0.3,0.1,0.4,0.2,0.7,0.002,0.09
169,Gazania,Gazania rigens,0.2,1,1,"""Decorative""","""Sandy, Well-drained""","""Urban, Rural""","""Temperate, Subtropical""",0.03,0.01,0.04,0.05,0.01,0.02,0.3,0.2,0.3,0.1,0.3,0.3,0.1,0.4,0.2,0.7,0.001,0.06
170,Ageratum,Ageratum houstonianum,1.2,1,1,"""Decorative""","""Sandy, Loamy""","""Urban, Rural""","""Tropical, Temperate""",0.03,0.01,0.04,0.06,0.01,0.02,0.4,0.3,0.4,0.1,0.3,0.3,0.1,0.4,0.2,0.7,0.001,0.36
171,Calendula,Calendula officinalis,1.5,1,1,"""Decorative, Medicinal""","""Sandy, Loamy""","""Urban, Rural""","""Temperate, Subtropical""",0.03,0.01,0.04,0.14,0.02,0.02,0.5,0.3,0.4,0.1,0.3,0.3,0.1,0.4,0.2,0.7,0.002,0.45
172,Nasturtium,Tropaeolum majus,2.4,1,1,"""Decorative, Fruiting""","""Sandy, Loamy""","""Urban, Rural""","""Temperate, Subtropical""",0.1,0.02,0.12,0.33,0.04,0.02,1.5,1.2,1.8,2.5,0.5,0.5,0.1,0.6,0.3,1,0.1,0.72
173,Alyssum,Lobularia maritima,0.6,1,1,"""Decorative""","""Sandy, Coastal""","""Urban, Rural, Coastal""","""Temperate, Coastal""",0.02,0,0.02,0.09,0.01,0.01,0.2,0.1,0.2,0.03,0.2,0.2,0,0.2,0.1,0.4,0.0003,0.18
174,Baobab,Adansonia digitata,312,20,80,"""Fruiting, Medicinal""","""Alluvial, Sandy""","""Urban, Rural""","""Tropical, Subtropical""",12.57,2.51,15.08,33.1,1.82,10,25,15,35,962,15,5000,1000,6000,2820,10347,35016.8,23.4
175,Avocado,Persea americana,48,10,10,"""Fruiting""","""Loamy, Well-drained""","""Urban, Rural""","""Subtropical, Mediterranean""",2,0.4,2.4,5.17,0.63,0.8,15,6,12,113,6,800,160,960,451,1654,711.9,14.4
